Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Kilo,Area,beach,depth,Building%,Latitude,Longitude
Al Karma,hotel,darkblue,Cyan,,Al Karma,,,,,,30.98834,28.72251
Al Maryland,hotel,darkblue,Cyan,,Al Maryland,,,,,,31.24877,27.38759
Al Nouran (Garawla),hotel,darkblue,Cyan,,Al Nouran (Garawla),,,,,,31.25029,27.38615
Al Tasamoh Beach,hotel,darkblue,Cyan,,Al Tasamoh Beach,,,,,,31.07278,28.19951
Al-Ealameen,hotel,darkblue,Cyan,,Al-Ealameen,,,,,,31.25849,27.38749
Albatros Blue Coast,hotel,darkblue,Cyan,,Albatros Blue Coast,,,,,,31.08152,28.11682
Almaza Bay,hotel,darkblue,Cyan,,Almaza Bay,,,,,,31.19569,27.55479
Amwaj resort,hotel,darkblue,Cyan,,Amwaj resort,,,,,,30.99945,28.68214
Baghoosh Beach Resort,hotel,darkblue,Cyan,,Baghoosh Beach Resort,,,,,,31.17978,27.64193
BIANCHI,hotel,darkblue,Cyan,,BIANCHI,,,,,,31.00288,28.69741
Blues,hotel,darkblue,Cyan,,Blues,,,,,,31.09125,27.94479
Blues Tiffany Ras El Hekma,hotel,darkblue,Cyan,,Blues Tiffany Ras El Hekma,,,,,,31.08944,27.9878
Bo Islands,hotel,darkblue,Cyan,,Bo Islands,,شركة عظيمة,الكيلو 50,الكيلو 50,الكيلو 50,30.94187,28.82468
bo sands,hotel,darkblue,Cyan,,bo sands,,نفس الشركة العظيمه,الكيلو 51,الكيلو 51,الكيلو 51,30.92034,28.81409
Caesar Bay Resort,hotel,darkblue,Cyan,,Caesar Bay Resort,,,,,,31.08548,28.01971
Canaria Beach,hotel,darkblue,Cyan,,Canaria Beach,,,,,,31.0693,28.25294
Castle New Project,hotel,red,Cyan,,Castle New Project,,,,,,31.20301,27.48885
Cecilia Lagoons,hotel,darkblue,Cyan,,Cecilia Lagoons,,,,,,31.24396,27.39781
Citystars North Coast,hotel,darkblue,Cyan,,Citystars North Coast,,,,,,31.07915,28.07372
Coast 82,hotel,darkblue,Cyan,,Coast 82,,,,,,31.0914,27.95666
Coral Hills Resorts,hotel,darkblue,Cyan,,Coral Hills Resorts,,,,,,31.08402,28.15367
Coronado North Coast,hotel,darkblue,Cyan,,Coronado North Coast,,,,,,31.08086,28.38448
Costa De Luna,hotel,darkblue,Cyan,,Costa De Luna,,,,,,31.23381,27.4113
Crystal Bay North Coast,hotel,darkblue,Cyan,,Crystal Bay North Coast,,,,,,31.2494,27.39048
Crystal Lagoons North Coast,hotel,darkblue,Cyan,,Crystal Lagoons North Coast,,,,,,31.20582,27.4992
Diplo 3 Sidi Abdel Rahman,hotel,darkblue,Cyan,,Diplo 3 Sidi Abdel Rahman,,,,,,30.94822,28.77644
Disney Beach Resort,hotel,darkblue,Cyan,,Disney Beach Resort,,,,,,31.17732,27.66287
